WINDOW_LEN,HORIZON,Model,MAE,RMSE,R2,Corr,HuberLoss
12,3,LSTM,0.002465 ± 0.000150,0.003795 ± 0.000239,-0.056206 ± 0.129825,0.385948 ± 0.017075,0.000007 ± 0.000001
12,3,Naive,0.003084 ± 0.000000,0.004561 ± 0.000000,-0.520691 ± 0.000000,0.239676 ± 0.000000,0.000010 ± 0.000000
12,3,Transformer-SinPE,0.002611 ± 0.000342,0.003718 ± 0.000227,-0.013561 ± 0.125214,0.361220 ± 0.032061,0.000007 ± 0.000001
12,3,Transformer-Time2Vec,0.002404 ± 0.000262,0.003564 ± 0.000065,0.071053 ± 0.033989,0.374207 ± 0.009849,0.000006 ± 0.000000
24,3,LSTM,0.002638 ± 0.000283,0.004020 ± 0.000308,-0.185990 ± 0.186486,0.372052 ± 0.027822,0.000008 ± 0.000001
24,3,Naive,0.003085 ± 0.000000,0.004562 ± 0.000000,-0.520703 ± 0.000000,0.239661 ± 0.000000,0.000010 ± 0.000000
24,3,Transformer-SinPE,0.002363 ± 0.000129,0.003529 ± 0.000088,0.089745 ± 0.045474,0.372322 ± 0.020828,0.000006 ± 0.000000
24,3,Transformer-Time2Vec,0.002403 ± 0.000116,0.003550 ± 0.000094,0.078662 ± 0.048803,0.376824 ± 0.025307,0.000006 ± 0.000000
24,6,LSTM,0.002614 ± 0.000558,0.003717 ± 0.000486,-0.369598 ± 0.363672,0.457777 ± 0.052842,0.000007 ± 0.000002
24,6,Naive,0.002598 ± 0.000000,0.003679 ± 0.000000,-0.323862 ± 0.000000,0.338092 ± 0.000000,0.000007 ± 0.000000
24,6,Transformer-SinPE,0.003234 ± 0.001705,0.004273 ± 0.001578,-0.980410 ± 1.584145,0.390049 ± 0.122927,0.000010 ± 0.000008
24,6,Transformer-Time2Vec,0.002451 ± 0.000734,0.003361 ± 0.000782,-0.152498 ± 0.581363,0.434660 ± 0.042534,0.000006 ± 0.000003
48,6,LSTM,0.002822 ± 0.000703,0.003852 ± 0.000715,-0.502506 ± 0.533865,0.470653 ± 0.049165,0.000007 ± 0.000003
48,6,Naive,0.002590 ± 0.000000,0.003666 ± 0.000000,-0.324758 ± 0.000000,0.338586 ± 0.000000,0.000007 ± 0.000000
48,6,Transformer-SinPE,0.003344 ± 0.001746,0.004262 ± 0.001708,-1.020337 ± 1.740270,0.409554 ± 0.107199,0.000010 ± 0.000009
48,6,Transformer-Time2Vec,0.002252 ± 0.000213,0.003056 ± 0.000225,0.075326 ± 0.139689,0.438582 ± 0.046731,0.000005 ± 0.000001
24,12,LSTM,0.002405 ± 0.000361,0.003262 ± 0.000447,-0.364690 ± 0.348693,0.414046 ± 0.164030,0.000005 ± 0.000001
24,12,Naive,0.002335 ± 0.000000,0.003172 ± 0.000000,-0.271324 ± 0.000000,0.364309 ± 0.000000,0.000005 ± 0.000000
24,12,Transformer-SinPE,0.002380 ± 0.000587,0.003105 ± 0.000515,-0.245162 ± 0.417236,0.426800 ± 0.061113,0.000005 ± 0.000002
24,12,Transformer-Time2Vec,0.001986 ± 0.000206,0.002697 ± 0.000140,0.078648 ± 0.095305,0.415663 ± 0.079262,0.000004 ± 0.000000
48,12,LSTM,0.002593 ± 0.000531,0.003461 ± 0.000474,-0.549503 ± 0.408963,0.475500 ± 0.106982,0.000006 ± 0.000002
48,12,Naive,0.002328 ± 0.000000,0.003160 ± 0.000000,-0.272711 ± 0.000000,0.366962 ± 0.000000,0.000005 ± 0.000000
48,12,Transformer-SinPE,0.002202 ± 0.000313,0.002986 ± 0.000314,-0.146499 ± 0.250270,0.475832 ± 0.037884,0.000004 ± 0.000001
48,12,Transformer-Time2Vec,0.002171 ± 0.000633,0.002899 ± 0.000721,-0.124186 ± 0.616426,0.434048 ± 0.124520,0.000004 ± 0.000002
